supplier_country,supplier_region,political_stability_index,infrastructure_score,natural_disaster_frequency,corruption_index,conflict_score,sanctions_exposure,export_restriction_risk,diplomatic_relations_score,distance_km,is_landlocked,supplier_tenure_years,contract_type,communication_responsiveness_hours,num_alternative_suppliers,supplier_tier,quality_incidents,audit_score,iso_certified,regulatory_violations,financial_stability_index,debt_to_equity,payment_delay_days,dependency_ratio,revenue_trend_yoy,num_employees,on_time_delivery_rate,avg_lead_time_days,lead_time_variability,order_fulfillment_rate,capacity_utilization,past_disruptions_lagged,avg_recovery_time_lagged,inventory_buffer_days,num_active_contracts,transport_mode,labor_strike_history,archetype,risk_level
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,71.7,1055,0,15,long-term,14.5,4,Tier 1,0,85.8,1,0,93.2,0.0,-3.1,7.6,8.5,1358,93.9,10,4.6,100.0,65.7,0,0.0,32,3,land,0,0,0
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,82.2,1111,0,12,long-term,1.0,4,Tier 3,0,97.1,1,0,74.9,0.0,2.9,9.6,5.3,1736,91.3,7,1.7,100.0,70.4,0,5.8,31,3,sea,0,0,0
United States,North America,0.03,72.5,24.5,64.0,0.0,0,0,96.4,2181,0,8,spot,19.0,4,Tier 1,0,95.9,1,0,83.5,0.0,-0.2,13.9,25.2,1692,93.1,9,2.1,100.0,74.7,0,6.1,28,8,air,0,0,0
United States,North America,0.03,72.5,24.5,64.0,0.0,0,0,93.7,595,0,9,long-term,1.0,3,Tier 2,0,100.0,1,0,88.0,0.0,-4.3,13.5,7.8,1753,100.0,12,0.1,97.6,72.4,0,0.0,23,10,land,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,83.4,1921,1,14,long-term,1.0,4,Tier 2,1,80.4,1,0,79.6,0.74,1.1,0.0,14.4,2278,92.8,10,3.6,100.0,61.2,1,0.0,35,6,sea,0,0,0
Finland,Western Europe,0.71,80.0,0.2,88.0,0.0,0,0,83.3,100,0,12,long-term,1.0,5,Tier 2,0,84.1,1,0,71.8,0.59,0.6,15.6,16.6,1991,87.3,1,2.8,100.0,62.8,0,4.5,42,6,air,1,0,0
United States,North America,0.03,72.5,24.5,64.0,0.0,0,0,83.5,1392,1,10,long-term,1.0,3,Tier 2,1,85.9,1,0,85.6,0.0,0.8,20.6,17.4,2316,90.1,1,1.6,100.0,68.1,0,21.3,42,8,land,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,79.2,865,0,8,long-term,8.4,4,Tier 1,0,98.7,1,0,77.7,0.39,-0.8,8.5,22.7,2190,86.9,7,0.0,100.0,60.2,0,1.4,31,11,air,0,0,0
Canada,North America,0.82,82.5,3.0,75.0,0.0,0,0,89.5,2121,0,9,long-term,1.0,4,Tier 1,0,100.0,1,0,65.1,0.0,6.7,28.2,11.4,1860,97.3,20,1.4,100.0,63.8,0,2.3,36,7,land,0,0,0
Germany,Western Europe,0.59,82.5,2.3,77.0,0.0,0,0,77.5,516,0,14,long-term,7.6,3,Tier 1,0,97.0,1,1,97.8,0.06,1.7,13.0,10.9,2330,100.0,11,2.8,98.1,69.1,0,0.4,34,2,sea,0,0,0
